Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12-09-2016,52.29,53.42,51.92,53.27,29303000,0,0
13-09-2016,52.76,52.9,52.33,52.78,30130200,0,0
14-09-2016,52.65,52.88,52.32,52.53,24062500,0,0
15-09-2016,52.43,53.55,52.27,53.4,26847000,0,0
16-09-2016,53.81,53.81,52.99,53.46,44607000,0,0
19-09-2016,53.47,53.92,53.08,53.16,20937100,0,0
20-09-2016,53.55,53.55,52.99,53.04,17384000,0,0
21-09-2016,53.7,54.02,53.3,53.93,33707300,0,0
22-09-2016,54.08,54.16,53.81,53.99,19822200,0,0
23-09-2016,54.03,54.07,53.58,53.62,19955300,0,0
26-09-2016,53.3,53.35,53.06,53.13,21688700,0,0
27-09-2016,53.16,54.21,52.92,54.11,28065100,0,0
28-09-2016,54.04,54.21,53.85,54.18,20536400,0,0
29-09-2016,53.98,54.31,53.42,53.6,25463500,0,0
30-09-2016,53.75,53.94,53.54,53.78,29910800,0,0
03-10-2016,53.6,53.74,53.28,53.61,19189500,0,0
04-10-2016,53.47,53.78,53.19,53.45,20085900,0,0
05-10-2016,53.49,54.12,53.46,53.82,16726400,0,0
06-10-2016,53.91,54.02,53.48,53.91,16212600,0,0
07-10-2016,54.02,54.14,53.61,53.97,20089000,0,0
10-10-2016,54.07,54.52,54.03,54.19,18196500,0,0
11-10-2016,54.05,54.17,53.12,53.4,26497400,0,0
12-10-2016,53.32,53.47,52.66,53.32,22177500,0,0
13-10-2016,52.94,53.5,52.59,53.15,25313700,0,0
14-10-2016,53.33,53.91,53.33,53.61,27402500,0,0
17-10-2016,53.56,53.65,53.1,53.43,23830000,0,0
18-10-2016,53.72,54.11,53.6,53.84,19149500,0,0
19-10-2016,53.66,54.01,53.6,53.72,22878400,0,0
20-10-2016,53.69,53.71,52.9,53.46,49455600,0,0
21-10-2016,56.28,56.44,55.55,55.71,80032200,0,0
24-10-2016,55.97,56.96,55.96,56.96,54067000,0,0
